last_name, first_name,player_id,year,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff
Soto, Juan,665742,2020,196,126,.351,.332,0.019,.695,.696,-0.001,.478,.474,0.004
Freeman, Freddie,518692,2020,262,177,.341,.338,0.003,.640,.657,-0.017,.456,.461,-0.005
Harper, Bryce,547180,2020,244,150,.268,.308,-0.040,.542,.658,-0.116,.400,.453,-0.053
Ozuna, Marcell,542303,2020,267,169,.338,.313,0.025,.636,.635,0.001,.444,.435,0.009
Seager, Corey,608369,2020,232,177,.307,.326,-0.019,.585,.647,-0.062,.394,.427,-0.033
Belt, Brandon,474832,2020,179,113,.309,.287,0.022,.591,.597,-0.006,.427,.422,0.005
Trout, Mike,545361,2020,241,147,.281,.287,-0.006,.603,.603,0.000,.407,.421,-0.014
Acuña Jr., Ronald,660670,2020,202,100,.250,.257,-0.007,.581,.599,-0.018,.413,.421,-0.008
Tatis Jr., Fernando,665487,2020,257,164,.277,.297,-0.020,.571,.614,-0.043,.392,.419,-0.027
Slater, Austin,596103,2020,104,64,.282,.303,-0.021,.506,.540,-0.034,.395,.416,-0.021
Stanton, Giancarlo,519317,2020,94,49,.250,.300,-0.050,.500,.544,-0.044,.375,.411,-0.036
Smith, Will,669257,2020,137,93,.289,.293,-0.004,.579,.539,0.040,.411,.407,0.004
Perez, Salvador,521692,2020,156,115,.333,.319,0.014,.633,.618,0.015,.410,.401,0.009
Springer, George,543807,2020,222,153,.265,.291,-0.026,.540,.563,-0.023,.376,.400,-0.024
Abreu, José,547989,2020,262,182,.317,.299,0.018,.617,.587,0.030,.411,.398,0.013
Turner, Justin,457759,2020,175,125,.307,.296,0.011,.460,.548,-0.088,.376,.398,-0.022
Hernández, Teoscar,606192,2020,207,128,.289,.294,-0.005,.579,.611,-0.032,.382,.398,-0.016
Goldschmidt, Paul,502671,2020,231,149,.304,.285,0.019,.466,.510,-0.044,.385,.396,-0.011
Cronenworth, Jake,630105,2020,192,143,.285,.321,-0.036,.477,.538,-0.061,.356,.396,-0.040
Winker, Jesse,608385,2020,183,104,.255,.263,-0.008,.544,.521,0.023,.396,.394,0.002
Myers, Wil,571976,2020,218,142,.288,.282,0.006,.606,.584,0.022,.400,.392,0.008
Smith, Dominic,642086,2020,199,135,.316,.301,0.015,.616,.563,0.053,.412,.389,0.023
Voit, Luke,572228,2020,234,160,.277,.279,-0.002,.610,.584,0.026,.393,.388,0.005
Rendon, Anthony,543685,2020,232,158,.286,.286,0.000,.497,.467,0.030,.395,.387,0.008
Stassi, Max,545358,2020,105,72,.278,.267,0.011,.533,.561,-0.028,.370,.385,-0.015
Iglesias, José,578428,2020,150,126,.373,.356,0.017,.556,.498,0.058,.407,.384,0.023
Machado, Manny,592518,2020,254,191,.304,.303,0.001,.580,.542,0.038,.391,.384,0.007
Cooper, Garrett,643265,2020,133,89,.283,.303,-0.020,.500,.518,-0.018,.365,.383,-0.018
d'Arnaud, Travis,518595,2020,184,116,.321,.298,0.023,.533,.533,0.000,.392,.382,0.010
Lowe, Brandon,664040,2020,224,137,.269,.261,0.008,.554,.550,0.004,.385,.382,0.003
Heyward, Jason,518792,2020,181,112,.265,.287,-0.022,.456,.451,0.005,.368,.381,-0.013
Turner, Trea,607208,2020,259,199,.335,.299,0.036,.588,.509,0.079,.413,.379,0.034
Hoskins, Rhys,656555,2020,185,108,.245,.235,0.010,.503,.504,-0.001,.382,.378,0.004
Cruz, Nelson,443558,2020,214,127,.303,.266,0.037,.595,.540,0.055,.411,.377,0.034
Urshela, Gio,570482,2020,174,130,.298,.311,-0.013,.490,.488,0.002,.365,.377,-0.012
Miller, Brad,543543,2020,171,97,.232,.252,-0.020,.451,.481,-0.030,.349,.377,-0.028
Conforto, Michael,624424,2020,233,145,.322,.285,0.037,.515,.482,0.033,.401,.375,0.026
Cabrera, Miguel,408234,2020,231,155,.250,.286,-0.036,.417,.515,-0.098,.323,.375,-0.052
Yelich, Christian,592885,2020,247,124,.205,.248,-0.043,.430,.469,-0.039,.343,.375,-0.032
Judge, Aaron,592450,2020,114,69,.257,.260,-0.003,.554,.535,0.019,.371,.374,-0.003
Calhoun, Kole,594777,2020,228,144,.226,.259,-0.033,.526,.509,0.017,.362,.373,-0.011
Hicks, Aaron,543305,2020,211,131,.225,.254,-0.029,.414,.432,-0.018,.351,.372,-0.021
Ramírez, José,608070,2020,254,177,.292,.263,0.029,.607,.505,0.102,.415,.371,0.044
Castellanos, Nick,592206,2020,242,150,.225,.273,-0.048,.486,.542,-0.056,.329,.371,-0.042
Taylor, Chris,621035,2020,214,131,.270,.271,-0.001,.476,.489,-0.013,.364,.370,-0.006
Bellinger, Cody,641355,2020,243,171,.239,.280,-0.041,.455,.487,-0.032,.337,.369,-0.032
Votto, Joey,458015,2020,223,143,.226,.253,-0.027,.446,.478,-0.032,.347,.369,-0.022
Jiménez, Eloy,650391,2020,226,158,.296,.282,0.014,.559,.544,0.015,.373,.368,0.005
